MAE,MSE,RMSE,R2
29.12,1831,43,0
31.3,2301,48,-1
28.38,1412,38,0
31.6,1931,44,0
28.21,1387,37,0
29.3,1502,39,0
27.94,1410,38,0
27.89,1295,36,0
27.81,1447,38,0
28.94,1397,37,0
