MAE,MSE,RMSE,R2
31.82,1581,39.76,-0.03
29.77,1417,37.64,0.07
29.35,1395,37.35,0.09
30.26,1461,38.22,0.05
28.98,1416,37.63,0.07
30.62,1468,38.31,0.04
30.07,1425,37.75,0.07
38.89,3083,55.52,-1.01
29.6,1457,38.17,0.05
31.5,1576,39.7,-0.03
