Model,Intercept,Slope,R_squared,Calibration_in_large
OLS,-1.13230728171883,1.02563047800824,0.148769391006907,0.0825027673292453
GAM,-9.08209813922688,1.19194945575591,0.162275571457251,0.0264974938279039
Ridge,-16.4411784605822,1.38871546499049,0.105365233134992,1.4508898392706
